
Predictions were generated on 27-Apr-2026 at 13:06:40 using OpenFAST, compiled on Mar 13 2026 at 19:00:22 as a 64-bit application using single precision at commit v5.0.0
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	ConvIter	ConvError	NumUJac	Q_B1F1	Q_GeAz	Q_TFA1	Q_TSS1	Q_TFA2	Q_TSS2	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(-)	(-)	(-)	(m)	(rad)	(m)	(m)	(m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.0000	.000000	.000000	1.000000	.000000	4.712389	.000000	.000000	.000000	.000000	.000000	.000000	.000000	.000000	.000000	12.10000	1173.700	.000000	.000000	.000000	-.4867441E-14	-.2466033	.1539209	.6624062E-15	16.06960	-.1991937E-13	2.863263	.1170767E-20	-.2042199E-13	-1051.800	-.2016008E-12	-38.18049	.3612767E-14	-2886.875	-.2893424E-13	1599.543	-.1777725E-13	86.91435	.3612767E-14	-6294.295	-.3454126E-12	4353.589	-.1777725E-13
    0.0063	2.000000	.1469838E-05	1.000000	.2452913E-04	4.720308	.000000	.000000	.4856004E-06	.000000	.2455876E-04	.1426270E-16	.000000	.000000	.4537431	12.10001	1173.701	.4856004E-06	.000000	.000000	.2082922	.2218379	.1801668	-.2847420E-01	16.07003	.8546882	4.119674	-.2082034E-06	.8763306	-1050.380	8.710090	-38.01737	-.1556786	-2886.902	1.246579	1601.500	.8051459	86.64137	-.1556786	-6294.323	14.88403	4348.515	.8051453
    0.0125	2.000000	.6809366E-04	.000000	.1144187E-03	4.728228	.000000	.000000	.2422134E-05	.000000	.1145568E-03	.2854803E-16	.000000	.000000	.9074862	12.10002	1173.702	.2422134E-05	.000000	.000000	.4153907	1.910665	.2747002	-.5687363E-01	16.07149	1.706048	8.647313	-.1633576E-05	1.749302	-1045.295	17.43425	-37.44803	-.3113577	-2886.996	2.498760	1608.469	1.712466	85.69938	-.3113577	-6294.417	29.77370	4331.446	1.712460
    0.0188	3.000000	.3550151E-07	.000000	.2642828E-03	4.736147	.000000	.000000	.6272371E-05	.000000	.2646020E-03	-.5049264E-16	.000000	.000000	1.361257	12.10005	1173.705	.6272371E-05	.000000	.000000	.6234201	4.697467	.4312904	-.8529370E-01	16.07414	2.559308	16.13178	-.5721414E-05	2.624158	-1036.816	26.14559	-36.39334	-.4672120	-2887.172	3.765898	1620.486	2.765400	83.89664	-.4672120	-6294.592	44.69368	4296.087	2.765377
    0.0250	3.000000	.4704365E-08	.000000	.4250237E-03	4.744067	.000000	.000000	.1199137E-04	.000000	.4255370E-03	-.2528912E-15	.000000	.000000	1.815000	12.10008	1173.708	.1199137E-04	.000000	.000000	.8324655	7.666757	.6003035	-.1137206	16.07810	3.414360	24.15431	-.1240715E-04	3.500775	-1027.410	34.83578	-34.85701	-.6232420	-2887.437	5.047242	1635.156	3.956767	81.08213	-.6232420	-6294.855	59.64328	4232.543	3.956706
    0.0312	3.000000	.6109765E-08	.000000	.5457399E-03	4.751987	.000000	.000000	.1951103E-04	.000000	.5463990E-03	.2643820E-15	.000000	.000000	2.268743	12.10013	1173.713	.1951103E-04	.000000	.000000	1.041990	9.875089	.7305583	-.1421063	16.08345	4.269434	30.22162	-.1988354E-04	4.377353	-1019.625	43.49548	-32.84856	-.7793452	-2887.796	6.332979	1649.983	5.197170	77.11266	-.7793452	-6295.213	74.60370	4130.973	5.197047
    0.0375	3.000000	.2321515E-08	.000000	.5915698E-03	4.759906	.000000	.000000	.2873831E-04	.000000	.5922842E-03	.3980475E-15	.000000	.000000	2.722513	12.10019	1173.718	.2873831E-04	.000000	.000000	1.250942	10.68182	.7872308	-.1703756	16.09022	5.121425	32.63908	-.2578613E-04	5.250750	-1015.202	52.11517	-30.38708	-.9353555	-2888.253	7.608133	1663.215	6.354812	71.91824	-.9353555	-6295.668	89.54543	3985.484	6.354594
    0.0438	3.000000	.3050896E-07	.000000	.5557747E-03	4.767826	.000000	.000000	.3955458E-04	.000000	.5564459E-03	-.4039007E-15	.000000	.000000	3.176256	12.10026	1173.725	.3955458E-04	.000000	.000000	1.458065	9.971145	.7638772	-.1984447	16.09836	5.966746	31.09708	-.2807988E-04	6.117340	-1014.476	60.68638	-27.50351	-1.091115	-2888.801	8.859347	1674.418	7.321726	65.54577	-1.091115	-6296.215	104.4413	3796.741	7.321377
    0.0500	3.000000	.3861893E-08	.000000	.4618366E-03	4.775745	.000000	.000000	.5181687E-04	.000000	.4623944E-03	.1468033E-15	.000000	.000000	3.630027	12.10033	1173.732	.5181687E-04	.000000	.000000	1.662292	8.187858	.6843715	-.2262459	16.10772	6.802390	26.76543	-.2688027E-04	6.974087	-1016.284	69.20299	-24.24036	-1.246550	-2889.430	10.08159	1684.556	8.076591	58.16454	-1.246550	-6296.843	119.2797	3572.325	8.076071
